time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
0.000000,0.105938,0.156901,-0.214572,0.157862,-0.273852,-0.055263
0.020000,0.105549,0.156308,-0.215350,0.157868,-0.273820,-0.055196
0.040000,0.104447,0.155559,-0.215762,0.157896,-0.273603,-0.055137
0.060000,0.104410,0.155445,-0.215926,0.157808,-0.273541,-0.055133
0.080000,0.104512,0.155611,-0.216026,0.157761,-0.273495,-0.055133
0.100000,0.104805,0.155761,-0.216163,0.157746,-0.273408,-0.055232
0.120000,0.104820,0.155898,-0.216191,0.157776,-0.273300,-0.055296
0.140000,0.104596,0.155888,-0.216240,0.157793,-0.273287,-0.055368
0.160000,0.104590,0.156072,-0.216235,0.157820,-0.273158,-0.055448
0.180000,0.104375,0.156203,-0.216293,0.157796,-0.273232,-0.055514
0.200000,0.104590,0.156385,-0.216222,0.157764,-0.273076,-0.055587
0.220000,0.104620,0.156420,-0.216165,0.157705,-0.273152,-0.055579
0.240000,0.104827,0.156546,-0.215968,0.157772,-0.272989,-0.055628
0.260000,0.104771,0.156593,-0.215860,0.157739,-0.273094,-0.055585
0.280000,0.104946,0.156793,-0.215660,0.157786,-0.272972,-0.055587
0.300000,0.104898,0.156884,-0.215542,0.157805,-0.273088,-0.055599
0.320000,0.105125,0.156957,-0.215358,0.157877,-0.272957,-0.055613
0.340000,0.105327,0.157048,-0.215208,0.157902,-0.273016,-0.055593
0.360000,0.105661,0.157159,-0.215041,0.157990,-0.272917,-0.055566
0.380000,0.105969,0.157331,-0.214995,0.157957,-0.272886,-0.055493
0.400000,0.106606,0.157548,-0.214881,0.158051,-0.272806,-0.055415
0.420000,0.106948,0.157752,-0.214839,0.157940,-0.272843,-0.055323
0.440000,0.107296,0.157864,-0.214767,0.157922,-0.272894,-0.055188
0.460000,0.107461,0.158037,-0.214642,0.157822,-0.272949,-0.055149
0.480000,0.107666,0.158205,-0.214579,0.157889,-0.272994,-0.055078
0.500000,0.107690,0.158383,-0.214446,0.157863,-0.273008,-0.055088
0.520000,0.107734,0.158496,-0.214359,0.157851,-0.273066,-0.055008
0.540000,0.108014,0.158659,-0.214249,0.157848,-0.273089,-0.054971
0.560000,0.108045,0.158719,-0.214248,0.157809,-0.273170,-0.054910
0.580000,0.108252,0.158843,-0.214184,0.157759,-0.273183,-0.054909
0.600000,0.108213,0.158919,-0.214198,0.157783,-0.273190,-0.054868
0.620000,0.108333,0.159050,-0.214133,0.157828,-0.273153,-0.054908
0.640000,0.108449,0.159187,-0.214138,0.157877,-0.273165,-0.054817
0.660000,0.108650,0.159277,-0.214121,0.157857,-0.273161,-0.054780
0.680000,0.108757,0.159349,-0.214137,0.157814,-0.273210,-0.054705
0.700000,0.108895,0.159347,-0.214099,0.157777,-0.273230,-0.054675
0.720000,0.108959,0.159377,-0.214114,0.157736,-0.273298,-0.054572
0.740000,0.109028,0.159342,-0.214103,0.157660,-0.273373,-0.054496
0.760000,0.109067,0.159345,-0.214113,0.157703,-0.273399,-0.054437
0.780000,0.109164,0.159323,-0.214102,0.157665,-0.273467,-0.054398
0.800000,0.109159,0.159315,-0.214105,0.157646,-0.273472,-0.054384
0.820000,0.109172,0.159276,-0.214099,0.157604,-0.273506,-0.054366
0.840000,0.109103,0.159257,-0.214133,0.157623,-0.273471,-0.054351
0.860000,0.109052,0.159279,-0.214044,0.157636,-0.273466,-0.054397
0.880000,0.108897,0.159329,-0.213928,0.157653,-0.273449,-0.054368
0.900000,0.108861,0.159404,-0.213788,0.157654,-0.273498,-0.054379
0.920000,0.108748,0.159494,-0.213752,0.157569,-0.273498,-0.054426
0.940000,0.108866,0.159682,-0.213653,0.157499,-0.273517,-0.054433
0.960000,0.108696,0.159736,-0.213676,0.157471,-0.273489,-0.054432
0.980000,0.108536,0.159823,-0.213668,0.157351,-0.273507,-0.054440
1.000000,0.108466,0.159881,-0.213729,0.157377,-0.273457,-0.054489
1.020000,0.108286,0.159970,-0.213756,0.157336,-0.273451,-0.054560
1.040000,0.108294,0.159993,-0.213855,0.157408,-0.273434,-0.054576
1.060000,0.108176,0.160021,-0.213869,0.157402,-0.273378,-0.054682
1.080000,0.108433,0.160077,-0.213931,0.157567,-0.273366,-0.054745
1.100000,0.108370,0.160077,-0.214094,0.157644,-0.273361,-0.054834
1.120000,0.108473,0.159959,-0.214393,0.157781,-0.273405,-0.054817
1.140000,0.108467,0.159839,-0.214669,0.157800,-0.273507,-0.054812
1.160000,0.108567,0.159650,-0.214978,0.157883,-0.273725,-0.054698
1.180000,0.108510,0.159384,-0.215330,0.157890,-0.273874,-0.054560
1.200000,0.108745,0.159190,-0.215684,0.157925,-0.274060,-0.054347
1.220000,0.108675,0.158883,-0.216061,0.157854,-0.274209,-0.054291
1.240000,0.108948,0.158588,-0.216396,0.157959,-0.274281,-0.054209
1.260000,0.108918,0.158113,-0.216711,0.158052,-0.274299,-0.054188
1.280000,0.109400,0.157715,-0.217177,0.158114,-0.274398,-0.054061
1.300000,0.109371,0.157265,-0.217536,0.158027,-0.274538,-0.054019
1.320000,0.109610,0.157071,-0.217939,0.158001,-0.274732,-0.053934
1.340000,0.109455,0.156839,-0.218180,0.157860,-0.274970,-0.053916
1.360000,0.109580,0.156817,-0.218229,0.157804,-0.275225,-0.053803
1.380000,0.109513,0.156860,-0.218215,0.157528,-0.275646,-0.053589
1.400000,0.109875,0.156808,-0.218271,0.157229,-0.276355,-0.053136
1.420000,0.110263,0.156859,-0.218159,0.156843,-0.277048,-0.052632
1.440000,0.110492,0.156966,-0.218111,0.156616,-0.277390,-0.052202
1.460000,0.111052,0.157227,-0.218032,0.156714,-0.277446,-0.052011
1.480000,0.111215,0.157377,-0.218039,0.157074,-0.277191,-0.052049
1.500000,0.111418,0.157617,-0.217952,0.157366,-0.276967,-0.052306
1.520000,0.111370,0.157633,-0.217952,0.157488,-0.276906,-0.052427
1.540000,0.111539,0.157683,-0.217962,0.157506,-0.277002,-0.052526
1.560000,0.111279,0.157695,-0.217975,0.157521,-0.276968,-0.052715
1.580000,0.111291,0.157761,-0.218012,0.157531,-0.276947,-0.052927
1.600000,0.111011,0.157791,-0.218030,0.157559,-0.276888,-0.053127
1.620000,0.111068,0.157917,-0.218078,0.157519,-0.276930,-0.053269
1.640000,0.110799,0.157912,-0.218178,0.157493,-0.277009,-0.053403
1.660000,0.111040,0.158042,-0.218217,0.157664,-0.276954,-0.053693
1.680000,0.110694,0.157983,-0.218329,0.157730,-0.276906,-0.053896
1.700000,0.110610,0.157980,-0.218434,0.157823,-0.276842,-0.054171
1.720000,0.110277,0.157903,-0.218539,0.157808,-0.276860,-0.054370
1.740000,0.110265,0.157892,-0.218660,0.157777,-0.276877,-0.054594
1.760000,0.109910,0.157821,-0.218742,0.157680,-0.276937,-0.054784
1.780000,0.109859,0.157760,-0.218873,0.157562,-0.277025,-0.054888
1.800000,0.109621,0.157694,-0.218998,0.157327,-0.277242,-0.054948
1.820000,0.109334,0.157610,-0.219191,0.157047,-0.277440,-0.054997
1.840000,0.109271,0.157639,-0.219282,0.156850,-0.277634,-0.055010
1.860000,0.109067,0.157604,-0.219449,0.156556,-0.277777,-0.055014
1.880000,0.109196,0.157680,-0.219501,0.156396,-0.277922,-0.055031
1.900000,0.109148,0.157669,-0.219684,0.156156,-0.278059,-0.055039
1.920000,0.109329,0.157748,-0.219775,0.156000,-0.278240,-0.054968
1.940000,0.109254,0.157734,-0.219923,0.155837,-0.278376,-0.054919
1.960000,0.109436,0.157892,-0.219981,0.155843,-0.278547,-0.054897
1.980000,0.109351,0.157966,-0.220093,0.155739,-0.278693,-0.054951
2.000000,0.109518,0.158110,-0.220087,0.155736,-0.278758,-0.054973
2.020000,0.109423,0.158179,-0.220127,0.155668,-0.278808,-0.055001
2.040000,0.109498,0.158273,-0.220103,0.155768,-0.278746,-0.055078
2.060000,0.109542,0.158352,-0.220186,0.155734,-0.278724,-0.055177
2.080000,0.109681,0.158440,-0.220207,0.155871,-0.278649,-0.055227
2.100000,0.109746,0.158579,-0.220302,0.155860,-0.278645,-0.055260
2.120000,0.109859,0.158745,-0.220389,0.155985,-0.278595,-0.055290
2.140000,0.109997,0.158978,-0.220534,0.155967,-0.278652,-0.055276
2.160000,0.110080,0.159123,-0.220499,0.156134,-0.278740,-0.055213
2.180000,0.110267,0.159533,-0.220682,0.156097,-0.278813,-0.055208
2.200000,0.110488,0.159887,-0.220865,0.156250,-0.278805,-0.055333
2.220000,0.110638,0.160320,-0.220984,0.156200,-0.278833,-0.055487
2.240000,0.110841,0.160758,-0.221044,0.156357,-0.278751,-0.055550
2.260000,0.111050,0.161307,-0.221224,0.156372,-0.278731,-0.055621
2.280000,0.111101,0.161726,-0.221331,0.156462,-0.278688,-0.055662
2.300000,0.111508,0.162176,-0.221419,0.156529,-0.278614,-0.055782
2.320000,0.111599,0.162468,-0.221499,0.156586,-0.278576,-0.055818
2.340000,0.112184,0.162841,-0.221567,0.156814,-0.278446,-0.055895
2.360000,0.112304,0.163025,-0.221630,0.156951,-0.278394,-0.055870
2.380000,0.112272,0.163084,-0.221700,0.157040,-0.278306,-0.055852
2.400000,0.112241,0.163134,-0.221689,0.157030,-0.278307,-0.055767
2.420000,0.112321,0.163093,-0.221708,0.157021,-0.278293,-0.055742
2.440000,0.112237,0.163098,-0.221682,0.156952,-0.278354,-0.055706
2.460000,0.112238,0.163084,-0.221570,0.156850,-0.278384,-0.055763
2.480000,0.112174,0.163128,-0.221437,0.156719,-0.278481,-0.055770
2.500000,0.112146,0.163218,-0.221134,0.156605,-0.278629,-0.055897
2.520000,0.112118,0.163386,-0.220880,0.156245,-0.278901,-0.055995
2.540000,0.112104,0.163436,-0.220651,0.156053,-0.279037,-0.056132
2.560000,0.112058,0.163415,-0.220531,0.155979,-0.279089,-0.056247
2.580000,0.112051,0.163364,-0.220388,0.155975,-0.279050,-0.056454
2.600000,0.111977,0.163351,-0.220320,0.155958,-0.279044,-0.056479
2.620000,0.112005,0.163291,-0.220169,0.155933,-0.279081,-0.056467
2.640000,0.111946,0.163209,-0.220132,0.155882,-0.279130,-0.056346
2.660000,0.112094,0.163216,-0.220005,0.155844,-0.279195,-0.056242
2.680000,0.111961,0.163179,-0.219856,0.155880,-0.279164,-0.056159
2.700000,0.111866,0.163268,-0.219442,0.155923,-0.279113,-0.055955
2.720000,0.112163,0.163481,-0.218995,0.156181,-0.278943,-0.055582
2.740000,0.112484,0.163728,-0.218528,0.156472,-0.278752,-0.054969
2.760000,0.113109,0.163924,-0.218097,0.157035,-0.278527,-0.054325
2.780000,0.113405,0.164086,-0.217601,0.157393,-0.278475,-0.053607
2.800000,0.113775,0.164192,-0.217154,0.157858,-0.278498,-0.052720
2.820000,0.114018,0.164432,-0.216623,0.158200,-0.278752,-0.051716
2.840000,0.114214,0.164706,-0.216120,0.158593,-0.279003,-0.050979
2.860000,0.114232,0.164999,-0.215764,0.158961,-0.279449,-0.050354
2.880000,0.114489,0.165298,-0.215593,0.159276,-0.279708,-0.049849
2.900000,0.114689,0.165552,-0.215487,0.159550,-0.279944,-0.049360
2.920000,0.115138,0.165714,-0.215392,0.159918,-0.279949,-0.049133
2.940000,0.115600,0.166007,-0.215193,0.160304,-0.279931,-0.048983
2.960000,0.116193,0.166325,-0.215085,0.160708,-0.279873,-0.048911
2.980000,0.116218,0.166736,-0.215033,0.160901,-0.279692,-0.048929
3.000000,0.116463,0.167270,-0.214964,0.161182,-0.279567,-0.048918
3.020000,0.116286,0.167727,-0.214926,0.161449,-0.279322,-0.049037
3.040000,0.116517,0.168222,-0.214866,0.161907,-0.278967,-0.049061
3.060000,0.116447,0.168578,-0.214819,0.162153,-0.278536,-0.049200
3.080000,0.116793,0.168934,-0.214785,0.162385,-0.278224,-0.049180
3.100000,0.116925,0.169197,-0.214711,0.162510,-0.277855,-0.049194
3.120000,0.117306,0.169573,-0.214597,0.162842,-0.277490,-0.049172
3.140000,0.117304,0.169866,-0.214446,0.163123,-0.277066,-0.049191
3.160000,0.117348,0.170461,-0.214288,0.163543,-0.276554,-0.049203
3.180000,0.117609,0.170825,-0.214110,0.164067,-0.275915,-0.049181
3.200000,0.117921,0.171016,-0.214017,0.164499,-0.275369,-0.049030
3.220000,0.118340,0.171143,-0.213794,0.164943,-0.274836,-0.048806
3.240000,0.118662,0.171322,-0.213746,0.165218,-0.274071,-0.048479
3.260000,0.119317,0.171488,-0.213683,0.165560,-0.272755,-0.048607
3.280000,0.119809,0.171377,-0.213694,0.166438,-0.270797,-0.048971
3.300000,0.120500,0.171385,-0.213459,0.167283,-0.268712,-0.049094
3.320000,0.120988,0.171565,-0.213176,0.167925,-0.267192,-0.049112
3.340000,0.121759,0.171735,-0.212937,0.168268,-0.266189,-0.048964
3.360000,0.122219,0.171752,-0.212897,0.168504,-0.265396,-0.048694
3.380000,0.122699,0.172005,-0.212532,0.168846,-0.264695,-0.048379
3.400000,0.122849,0.172253,-0.212088,0.169063,-0.264247,-0.047967
3.420000,0.123257,0.172615,-0.211526,0.169044,-0.264229,-0.047585
3.440000,0.123372,0.172870,-0.211121,0.168944,-0.264418,-0.047231
3.460000,0.123672,0.173077,-0.210716,0.168859,-0.264671,-0.046894
3.480000,0.123038,0.173173,-0.210066,0.168802,-0.264819,-0.046593
3.500000,0.121680,0.173664,-0.208826,0.168665,-0.265059,-0.046262
3.520000,0.118528,0.174872,-0.206814,0.168456,-0.265285,-0.045964
3.540000,0.114452,0.177209,-0.204218,0.168198,-0.265436,-0.045825
3.560000,0.109749,0.180616,-0.201042,0.168059,-0.265213,-0.045915
3.580000,0.104476,0.184942,-0.196959,0.167948,-0.264835,-0.045943
3.600000,0.099414,0.189627,-0.192286,0.167981,-0.264501,-0.045828
3.620000,0.096376,0.193567,-0.188147,0.167999,-0.264286,-0.045676
3.640000,0.095226,0.195329,-0.185740,0.167966,-0.264339,-0.045276
3.660000,0.094625,0.196136,-0.184005,0.167949,-0.264441,-0.045037
3.680000,0.094274,0.196764,-0.182290,0.168101,-0.264569,-0.044863
3.700000,0.093578,0.197182,-0.180972,0.168200,-0.264604,-0.044821
3.720000,0.092938,0.197505,-0.179802,0.168326,-0.264621,-0.044683
3.740000,0.092052,0.197546,-0.178849,0.168373,-0.264629,-0.044532
3.760000,0.091712,0.197730,-0.177872,0.168375,-0.264747,-0.044296
3.780000,0.091536,0.197939,-0.177154,0.168270,-0.264913,-0.044090
3.800000,0.091918,0.197921,-0.177113,0.168270,-0.265085,-0.043917
3.820000,0.092015,0.197922,-0.177239,0.168332,-0.265086,-0.043910
3.840000,0.092111,0.197848,-0.177357,0.168489,-0.265107,-0.043706
3.860000,0.092506,0.197809,-0.177764,0.168531,-0.265344,-0.043098
3.880000,0.093013,0.197717,-0.178011,0.168542,-0.265898,-0.042128
3.900000,0.093500,0.197695,-0.178314,0.168322,-0.266849,-0.040925
3.920000,0.094078,0.197630,-0.178346,0.168146,-0.267990,-0.039401
3.940000,0.094600,0.197078,-0.178577,0.167694,-0.269751,-0.037052
3.960000,0.095048,0.195694,-0.179002,0.166937,-0.272590,-0.033364
3.980000,0.095293,0.193379,-0.179841,0.165436,-0.276576,-0.028043
4.000000,0.095278,0.190770,-0.180713,0.164554,-0.280677,-0.022132
4.020000,0.095209,0.188362,-0.181652,0.164772,-0.283559,-0.015340
4.040000,0.094438,0.186377,-0.182326,0.165563,-0.285836,-0.008325
4.060000,0.094265,0.184823,-0.183427,0.167163,-0.288676,-0.000751
4.080000,0.094106,0.182655,-0.185493,0.169861,-0.291481,0.008111
4.100000,0.094255,0.180262,-0.187601,0.171694,-0.294735,0.020206
4.120000,0.094099,0.177360,-0.189066,0.172165,-0.295836,0.033840
4.140000,0.093877,0.174191,-0.188992,0.170686,-0.296505,0.050927
4.160000,0.093553,0.170891,-0.187146,0.165877,-0.296230,0.071461
4.180000,0.092647,0.166871,-0.184518,0.160076,-0.294202,0.092153
4.200000,0.090173,0.162183,-0.179426,0.154035,-0.288418,0.115597
4.220000,0.087305,0.155951,-0.172310,0.149597,-0.279363,0.136842
4.240000,0.085999,0.150197,-0.165140,0.146438,-0.268262,0.156995
4.260000,0.086204,0.144128,-0.158946,0.144623,-0.256299,0.176175
4.280000,0.086423,0.140281,-0.153869,0.143655,-0.245942,0.192658
4.300000,0.086800,0.138043,-0.150654,0.142041,-0.237389,0.205987
4.320000,0.086494,0.138321,-0.149750,0.140706,-0.230450,0.216284
4.340000,0.086349,0.140169,-0.151337,0.139296,-0.225765,0.222681
4.360000,0.087094,0.142077,-0.154081,0.139186,-0.224187,0.225024
4.380000,0.088910,0.143273,-0.156744,0.140390,-0.226383,0.223477
4.400000,0.090067,0.144281,-0.158411,0.144828,-0.232278,0.218484
