time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
0.0,,0.293503,-0.092803,0.314738,-0.11343800000000001,-0.154972
0.02,,0.29344499999999996,-0.092968,0.315143,-0.113476,-0.154807
0.04,,,,0.315974,-0.113521,-0.15442899999999998
0.06,,0.293285,-0.093356,0.316709,-0.11355499999999999,-0.154063
0.08,0.16361099999999998,0.29323699999999997,-0.093475,0.317206,-0.113534,-0.153886
0.1,0.163378,0.29320300000000005,-0.093658,,,
0.12,0.163139,0.29319,-0.093735,0.317727,-0.113348,-0.153788
0.14,0.162951,0.293191,-0.093861,0.318036,-0.11340599999999999,-0.153694
0.16,0.162694,0.293186,-0.093938,0.318384,-0.11336099999999999,-0.15357300000000002
0.18,0.162519,0.293118,-0.094113,0.318659,-0.113598,-0.153543
0.2,0.162273,0.293101,-0.094198,0.318905,-0.113579,-0.15351099999999998
0.22,0.162064,0.293084,-0.094333,0.319166,-0.113712,-0.153525
0.24,0.161863,0.293077,-0.094401,0.31950100000000003,-0.11373,-0.153418
0.26,0.161767,0.293065,-0.09449,0.31995100000000004,-0.11400199999999999,-0.153337
0.28,0.161696,0.29307,-0.094539,0.320606,-0.114193,-0.153119
0.3,0.161724,0.29315,-0.09456200000000001,0.321484,-0.114718,-0.152864
0.32,0.16181800000000002,0.293317,-0.094441,,,
0.34,0.16200799999999999,0.293513,-0.09438099999999999,0.323986,-0.11610899999999999,-0.151871
0.36,0.162204,0.293671,-0.094338,0.325205,-0.11666800000000001,-0.151344
0.38,,,,0.326148,-0.11736600000000001,-0.151026
0.4,0.162706,0.293697,-0.094541,0.32711999999999997,-0.11787,-0.150724
0.42,0.162943,0.293628,-0.09477200000000001,0.328016,-0.11854300000000001,-0.15048699999999998
0.44,,,,0.32887,-0.11903299999999999,-0.150186
0.46,0.163276,0.29352399999999995,-0.095178,0.329453,-0.119691,-0.14999300000000002
0.48,0.163197,0.293579,-0.095236,0.329861,-0.120026,-0.149829
0.5,0.163136,0.293566,-0.095376,0.330137,-0.120426,-0.149824
0.52,0.16296,0.293585,-0.09538200000000001,0.330342,-0.120528,-0.149855
0.54,,,,0.330426,-0.120754,-0.14998499999999998
0.56,0.16255799999999998,0.293491,-0.09564,0.330437,-0.120852,-0.150094
0.58,0.16237200000000002,0.29342199999999996,-0.095743,0.330277,-0.12085599999999999,-0.15018399999999998
0.6,0.16209,0.293416,-0.09575499999999999,0.330102,-0.120801,-0.150312
0.62,0.161854,0.293321,-0.095805,0.32986,-0.12078499999999999,-0.150447
0.64,0.161576,0.29330300000000004,-0.09578400000000001,0.329667,-0.120848,-0.150648
0.66,0.16136099999999998,0.29318,-0.095962,0.329349,-0.12103299999999999,-0.150781
0.68,0.161064,0.293102,-0.0961,0.329052,-0.121071,-0.150954
0.7,0.16086199999999998,0.292894,-0.096453,,,
0.72,0.16062,0.292727,-0.096764,0.328633,-0.120899,-0.151299
0.74,0.160492,0.29249899999999995,-0.097211,0.328307,-0.12084600000000001,-0.151474
0.76,0.160433,0.29235,-0.09755499999999999,,,
0.78,0.16058699999999998,0.292216,-0.097888,0.32718,-0.12056900000000001,-0.151857
0.8,0.160747,0.29223699999999997,-0.097941,0.326502,-0.120278,-0.151947
0.82,0.161184,0.292274,-0.098106,0.325658,-0.1199,-0.151997
0.84,0.161686,0.292469,-0.09816,0.324938,-0.11929100000000001,-0.151979
0.86,,,,0.324152,-0.118795,-0.151903
0.88,0.163874,0.293693,-0.09743500000000001,0.323502,-0.11828,-0.15175999999999998
0.9,0.16555999999999998,0.294896,-0.096565,0.322625,-0.11785999999999999,-0.1517
0.92,0.167223,0.29618099999999997,-0.09579299999999999,0.32174200000000003,-0.117416,-0.151509
0.94,0.170151,0.297711,-0.094724,0.32065,-0.11703599999999999,-0.151228
0.96,0.174255,0.29935700000000004,-0.093907,0.320129,-0.116476,-0.150814
0.98,0.180806,0.301454,-0.09293799999999999,0.320417,-0.116526,-0.150501
1.0,0.190984,0.30328099999999997,-0.09148400000000001,0.32142,-0.11713599999999999,-0.150533
1.02,0.208375,0.30497399999999997,-0.093212,0.322403,-0.117834,-0.150833
1.04,0.235202,0.303586,-0.09564199999999999,0.323615,-0.118046,-0.15146400000000002
1.06,0.264583,0.295216,-0.099694,0.324782,-0.11821400000000001,-0.152469
1.08,0.289916,0.278062,-0.109098,0.325825,-0.118021,-0.153429
1.1,,,,0.326914,-0.11745699999999999,-0.154525
1.12,,,,0.32798299999999997,-0.11623599999999999,-0.155596
1.14,0.308262,0.225865,-0.138456,,,
1.16,0.312373,0.229231,-0.130029,0.32910700000000004,-0.114379,-0.157783
1.18,0.311947,0.23090700000000003,-0.128745,,,
1.2,0.310147,0.22895500000000002,-0.131774,,,
