Provider,PotentialFraud,Age,NumPhysiciansSeen,NumProcedures,NumDiagnosisClaims,InscClaimAmtReimbursed,DeductibleAmtPaid,NoOfMonths_PartACov,NoOfMonths_PartBCov,IPAnnualReimbursementAmt,IPAnnualDeductibleAmt,OPAnnualReimbursementAmt,OPAnnualDeductibleAmt,ChronicCond_Alzheimer,ChronicCond_Heartfailure,ChronicCond_KidneyDisease,ChronicCond_Cancer,ChronicCond_ObstrPulmonary,ChronicCond_Depression,ChronicCond_Diabetes,ChronicCond_IschemicHeart,ChronicCond_Osteoporasis,ChronicCond_rheumatoidarthritis,ChronicCond_stroke
PRV51001,False,78.84,1.28,0.12,3.64,4185.6,213.6,12.0,12.0,17606.0,897.12,2615.2,463.92,15,19,17,5,10,9,21,23,6,8,6
PRV51003,True,70.02272727272727,1.1818181818181819,0.36363636363636365,5.765151515151516,4588.409090909091,502.1666666666667,11.818181818181818,11.871212121212121,7568.181818181818,931.4242424242424,2678.181818181818,737.1212121212121,56,80,64,10,41,54,100,112,33,38,12
PRV51004,False,72.16107382550335,1.3221476510067114,0.0,2.751677852348993,350.13422818791946,2.0805369127516777,11.865771812080537,11.95973154362416,4351.879194630873,434.9530201342282,2194.8993288590605,622.751677852349,64,88,50,16,41,63,105,108,49,46,17
PRV51005,True,70.4755364806867,1.2094420600858369,0.0,2.786266094420601,241.1244635193133,3.1759656652360513,11.907296137339056,11.939914163090128,3623.991416309013,379.16223175965666,2109.733905579399,636.3287553648069,426,680,507,165,295,485,799,895,344,331,124
PRV51007,False,69.29166666666667,1.125,0.013888888888888888,3.2083333333333335,468.19444444444446,45.333333333333336,11.833333333333334,11.833333333333334,3050.0,445.0,1729.7222222222222,469.72222222222223,26,40,22,12,16,29,49,51,21,22,12
PRV51008,False,75.62790697674419,1.255813953488372,0.046511627906976744,3.3255813953488373,828.6046511627907,53.86046511627907,12.0,12.0,6592.093023255814,620.9302325581396,2570.4651162790697,616.046511627907,17,25,14,9,9,12,30,33,11,6,2
PRV51011,False,74.37931034482759,1.3620689655172413,0.0,2.7241379310344827,286.7241379310345,23.586206896551722,12.0,12.0,4414.827586206897,674.2758620689655,1399.3103448275863,366.7241379310345,25,37,25,4,21,31,41,44,20,16,2
PRV51012,False,74.47916666666667,1.25,0.0,2.8958333333333335,351.875,2.0833333333333335,12.0,11.5,6935.416666666667,839.9166666666666,3793.9583333333335,735.2083333333334,18,26,22,6,21,19,35,38,17,17,3
PRV51013,False,74.3913043478261,1.108695652173913,0.0,2.782608695652174,323.4782608695652,5.0,12.0,12.0,3635.6521739130435,593.304347826087,3226.521739130435,914.7826086956521,17,26,19,4,16,18,37,36,12,16,2
PRV51014,False,71.2,1.3666666666666667,0.0,3.8333333333333335,349.3333333333333,4.0,12.0,12.0,2786.3333333333335,427.2,1742.3333333333333,649.3333333333334,16,17,16,2,9,10,19,20,6,12,3
PRV51015,False,72.125,1.375,0.0,3.125,87.5,0.0,12.0,12.0,1186.25,267.0,1445.0,263.75,4,7,4,3,4,7,8,7,3,3,1
PRV51016,False,70.66666666666667,1.0,0.0,3.8333333333333335,28.333333333333332,0.0,12.0,12.0,0.0,0.0,878.3333333333334,295.0,2,4,4,3,2,2,5,5,2,3,1
PRV51017,False,72.62135922330097,1.2970873786407766,0.003883495145631068,2.912621359223301,277.126213592233,2.0388349514563107,11.895145631067962,11.966990291262135,3322.7184466019417,385.4601941747573,2370.990291262136,689.3009708737864,216,294,215,58,159,210,351,386,184,128,47
PRV51021,True,73.09727626459144,1.4085603112840468,0.08560311284046693,3.7159533073929962,1357.3151750972763,122.53696498054475,11.95330739299611,11.914396887159533,4886.964980544747,582.7859922178989,2695.0972762645915,770.0466926070039,94,145,122,60,103,116,194,196,70,85,27
